PID,category code,subcategory code
9CSN-FML,3,6
9CSN-FML,9,1
LYPP-8LL,7,1
GSCL-CXT,12,1
GSCR-2D4,0,1
GSCR-2D4,3,6
LLH5-3LW,4,1
LLH5-3LW,6,1
LLH5-3LW,7,1
GSC1-DW3,6,3
GSC1-DW3,11,1
GSC2-Y4H,3,2
GSCT-5K8,1,4
GSCT-5K8,3,6
GSCT-5K8,6,6
GSCT-37G,1,6
GSCR-WKQ,0,1
GSCR-WKQ,13,3
L5KK-59Y,13,2
LJYF-87L,3,4
KJLV-LFD,3,4
GSC2-QR8,5,1
LT11-VL9,7,1
LYJC-BF9,1,1
LYJC-BF9,1,2
LYJC-BF9,3,2
LCZ7-TXP,5,1
GSCK-6HG,3,5
GSCK-6HG,3,6
GSCK-6HG,16,1
KL8B-D11,8,2
GSC1-G88,5,1
GSC1-G88,12,1
LQB7-Z3N,14,2
LHRR-2HY,8,2
L46T-6XR,0,1
L46T-6XR,1,1
L46T-6XR,13,1
GSCY-LQV,0,1
GSCT-W8S,2,1
27FM-D46,3,1
27FM-D46,3,2
L5ZB-85Q,8,1
L5ZB-85Q,8,2
GSCL-YSB,1,1
GSCL-YSB,6,2
GSCT-6BG,16,1
GSCY-Y8X,3,2
M5QX-S53,4,2
G9CH-T1Z,3,2
GSCT-DPB,2,1
GSCT-WM6,1,1
L5KH-39X,1,1
GM3Q-R77,14,1
GSCR-1GC,2,1
GSCR-YH9,2,1
GSCT-PXD,2,1
L188-NGH,4,1
LRXQ-9ZK,5,1
LRXQ-9ZK,6,3
LRXQ-9ZK,12,2
G9VG-8HL,6,1
G9VG-8HL,7,1
GSC2-P9D,1,1
GSC2-P9D,1,5
GSCR-5PN,3,4
GSCR-5PN,7,1
GSCR-5PN,10,1
GSCR-5PN,16,1
L46T-LDV,0,1
GSCB-WYK,0,1
LHXB-LZ2,1,2
LKGT-7P7,0,2
LKGT-7P7,4,1
LKGT-7P7,4,2
GSCT-MYY,0,2
GSCT-MYY,3,2
LRL5-CXT,1,1
LRL5-CXT,1,2
L1HQ-3J3,4,1
L26F-FTG,1,1
L26F-FTG,1,2
GSC2-T4T,1,6
299N-TH8,0,2
K6QW-3P2,1,6
GSCR-1NV,6,7
L84W-DQG,13,1
GSC2-ZJY,1,6
GSCR-LC4,14,2
M8ZX-BTV,8,1
KJGC-7ZC,7,1
LQBB-Z14,0,2
LQBB-Z14,1,6
LQBB-Z14,6,2
GSC2-KCY,0,2
GSC2-KCY,6,2
276G-293,1,1
LVHC-ZDB,3,2
LB1Q-M4X,2,1
G9B8-NLK,3,6
G9B8-NLK,5,1
GSCK-T9S,15,1
GSCT-B8L,0,2
GSCT-4Q2,0,2
GSCY-GMG,2,1
GSCT-FRZ,4,1
LB7P-1FC,7,1
LB7P-1FC,13,2
L6XY-LZ9,15,1
L1VM-R55,6,2
GSCT-BD3,2,1
9VGC-38M,9,1
GSC2-4WC,2,1
27FD-KQY,0,1
27FD-KQY,3,2
27FD-KQY,3,3
27FD-KQY,8,1
9QQ1-PS8,4,1
9QQ1-PS8,6,2
M6JJ-22V,6,1
M6JJ-22V,13,2
MK42-59Q,0,2
L7NH-HM9,6,7
L7NH-HM9,7,1
27F4-CBN,2,1
K2PJ-JZV,0,2
K2PJ-JZV,6,3
GSZ3-2RS,2,1
GSZ7-N7T,4,1
GS83-8F3,2,1
GSZQ-S15,2,1
LZN7-Q38,5,1
GSZ3-VKH,3,3
L58Y-C53,0,2
L58Y-C53,11,1
G9H5-117,2,1
G9H5-117,3,1
G9H5-117,3,2
GSZZ-RVH,0,1
GM4C-Q6N,6,3
L5KM-PN7,7,1
L5KM-PN7,14,2
GSZ8-KX3,5,1
GSZ3-4BY,5,1
LB7Y-5DQ,4,1
G972-QQW,2,1
9H5R-LWS,0,2
9H5R-LWS,1,4
9H5R-LWS,3,2
GSZZ-TQR,5,1
GMLW-8BZ,1,4
MZ4Z-SML,0,1
GSZQ-1YJ,2,1
LKFX-F5J,1,1
LKFX-F5J,1,2
GS3L-45K,7,1
GS3L-45K,8,3
GSZ3-DJL,3,2
GSZQ-GJQ,0,1
GSZQ-GJQ,1,2
LKQ3-7HF,2,1
LKQ3-7HF,10,1
GSZ7-JQY,1,1
L5KY-NBK,2,1
GSZ3-D8L,5,1
GSZ8-DF9,0,1
GSZ8-DF9,1,6
GSZ8-DF9,3,6
GSZ8-DF9,4,1
GSZ8-DF9,10,1
LRWC-QFH,1,4
GM3H-KW6,0,2
KJLG-6YJ,1,1
KJLG-6YJ,3,1
GSZZ-XJG,3,1
GSZZ-XJG,3,2
GSZQ-842,3,1
GSZQ-842,3,2
GSZQ-ZFZ,3,2
GSZ7-92D,12,1
GSZ3-ZY6,7,1
LQB7-6RY,1,6
27FM-HC8,0,2
27FM-HC8,3,2
LBYC-P5R,3,2
LBYC-P5R,6,3
GSZD-4HN,7,1
KZNN-5MD,10,1
GSZQ-DWP,2,1
GSZ7-211,7,1
GSZ7-211,8,1
GSZ7-211,8,2
GSZ7-211,13,2
GSZ8-831,8,2
2RBL-F5F,3,1
2RBL-F5F,3,2
L4RQ-9MK,3,1
L4RQ-9MK,3,2
LKJB-S9X,0,1
LKJB-S9X,9,1
GM3G-LG9,3,1
GM3G-LG9,3,2
L6J8-R3B,3,3
GSZQ-4R7,3,6
L1CY-QLY,7,1
K4LR-QCG,1,4
LVXT-YRV,0,2
LVXT-YRV,3,2
GSZ3-Q9J,7,1
LRBH-543,18,1
LJ4Y-LY8,7,1
G993-7XH,2,1
LXFK-D13,8,2
GSZ3-VF7,6,1
GSZ3-VF7,6,3
G99B-6WX,3,2
GSZQ-6NL,4,1
GSZ4-GVZ,1,1
LC8R-4BR,3,1
LC8R-4BR,3,2
MYYN-GL6,0,1
GSZZ-BKB,1,4
GSZZ-BKB,2,1
GSZD-NQQ,3,5
GSZD-NQQ,6,6
GSZD-NQQ,10,1
GSZ3-SGS,10,1
GSZ3-SGS,10,2
GSZ3-S5Y,2,1
LTYZ-XSX,1,3
LRZS-K56,2,1
2WD6-QD3,6,4
GSZ3-6YF,3,2
L7SB-2ZF,8,3
L56P-BMN,4,1
L16N-G53,6,4
GSZQ-B18,3,2
LRHH-6YB,0,1
GSZ7-1FW,6,1
