PID,code,social,honorary_or_political,obs15,professional,professional,gent_club,country_club,frat_order,hereditary,undergrad_club
KH5K-6HB,208,1,1,1.0,0,0,0,0,0,0,0
KH5K-6HB,311,1,0,1.0,0,0,0,0,0,0,0
L461-4SP,73,1,0,1.0,0,0,0,0,1,0,0
GSCT-C7L,49,1,0,1.0,0,0,0,0,0,0,0
GSCT-C7L,87,1,0,1.0,0,0,0,0,0,0,0
LVJY-D7H,268,1,0,1.0,0,0,0,0,0,0,0
GSCY-PPP,46,1,0,1.0,0,0,0,0,0,0,0
GSCY-PPP,87,1,0,1.0,0,0,0,0,0,0,0
GSCY-PPP,168,0,0,1.0,1,0,0,0,0,0,0
GSCY-PPP,169,1,0,1.0,0,0,0,1,0,0,0
GSCY-PPP,194,0,0,1.0,1,0,0,0,0,0,0
GSCY-PPP,198,0,0,1.0,1,0,0,0,0,0,0
LT93-C8Y,3,0,0,1.0,1,0,0,0,0,0,0
LT93-C8Y,59,1,0,1.0,0,0,0,0,1,0,0
L45P-LZM,41,1,0,1.0,0,0,0,0,0,0,0
L45P-LZM,46,1,0,1.0,0,0,0,0,0,0,0
L45P-LZM,87,1,0,1.0,0,0,0,0,0,0,0
GSCY-WT9,46,1,0,1.0,0,0,0,0,0,0,0
GSCY-WT9,87,1,0,1.0,0,0,0,0,0,0,0
LRJQ-7V2,52,1,0,1.0,0,0,0,0,0,0,0
LRJQ-7V2,121,0,0,1.0,1,0,0,0,0,0,0
LRJQ-7V2,186,0,0,1.0,1,0,0,0,0,0,0
LRJQ-7V2,189,0,0,1.0,0,1,0,0,0,0,0
LRJQ-7V2,190,0,0,1.0,1,0,0,0,0,0,0
LRJQ-7V2,193,0,0,1.0,1,0,0,0,0,0,0
LRJQ-7V2,199,0,0,1.0,1,0,0,0,0,0,0
LHB2-65Z,122,1,0,1.0,0,0,0,1,0,0,0
LHB2-65Z,168,0,0,1.0,1,0,0,0,0,0,0
G96R-V5B,49,1,0,1.0,0,0,0,0,0,0,0
G96R-V5B,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-93X,27,1,0,1.0,0,0,0,0,1,0,0
GSCT-93X,101,0,1,1.0,0,0,0,0,0,0,0
GSCT-93X,177,1,0,1.0,0,0,0,0,0,0,0
GMFL-3D6,35,1,0,1.0,0,0,1,0,0,0,0
GMFL-3D6,132,0,0,1.0,0,0,0,0,0,0,0
GMFL-3D6,331,1,0,1.0,0,0,0,0,0,0,1
GMFL-3D6,332,1,0,1.0,0,0,0,0,0,0,1
LLCH-C93,46,1,0,1.0,0,0,0,0,0,0,0
LLCH-C93,59,1,0,1.0,0,0,0,0,1,0,0
LLCH-C93,87,1,0,1.0,0,0,0,0,0,0,0
LLCH-C93,218,1,0,1.0,0,0,0,1,0,0,0
GSCT-4SL,28,0,0,1.0,1,0,0,0,0,0,0
GSCT-4SL,41,1,0,1.0,0,0,0,0,0,0,0
GSCT-4SL,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-4SL,140,0,0,1.0,0,0,0,0,0,0,0
GSCT-4SL,168,0,0,1.0,1,0,0,0,0,0,0
GSCT-4SL,188,1,0,1.0,0,0,0,0,0,0,0
GSCT-4SL,197,0,0,1.0,1,0,0,0,0,0,0
LY7Y-TKL,41,1,0,1.0,0,0,0,0,0,0,0
LY7Y-TKL,50,1,0,1.0,0,0,0,0,0,0,0
LY7Y-TKL,87,1,0,1.0,0,0,0,0,0,0,0
LY7Y-TKL,170,1,0,1.0,0,0,0,0,0,0,0
LKG3-2KV,46,1,0,1.0,0,0,0,0,0,0,0
LKG3-2KV,87,1,0,1.0,0,0,0,0,0,0,0
LKG3-2KV,195,0,0,1.0,1,0,0,0,0,0,0
LKG3-2KV,223,0,0,1.0,1,0,0,0,0,0,0
L87J-TBK,33,1,0,1.0,0,0,1,0,0,0,0
L87J-TBK,46,1,0,1.0,0,0,0,0,0,0,0
L87J-TBK,87,1,0,1.0,0,0,0,0,0,0,0
L87J-TBK,204,1,0,1.0,0,1,1,0,0,0,0
LQY9-F3B,3,0,0,1.0,1,0,0,0,0,0,0
LQY9-F3B,8,0,0,1.0,1,0,0,0,0,0,0
LQY9-F3B,19,0,0,1.0,1,0,0,0,0,0,0
LQY9-F3B,82,1,0,1.0,0,0,0,0,0,0,0
LQY9-F3B,175,0,0,1.0,1,0,0,0,0,0,0
LZT5-HLD,3,0,0,1.0,1,0,0,0,0,0,0
LZT5-HLD,6,0,0,1.0,1,0,0,0,0,0,0
LZT5-HLD,7,0,1,1.0,1,0,0,0,0,0,0
LZT5-HLD,170,1,0,1.0,0,0,0,0,0,0,0
LZT5-HLD,175,0,0,1.0,1,0,0,0,0,0,0
LZT5-HLD,190,0,0,1.0,1,0,0,0,0,0,0
LZT5-HLD,192,0,0,1.0,1,0,0,0,0,0,0
LRM6-KPC,46,1,0,1.0,0,0,0,0,0,0,0
LRM6-KPC,87,1,0,1.0,0,0,0,0,0,0,0
LRM6-KPC,168,0,0,1.0,1,0,0,0,0,0,0
LY82-RP4,46,1,0,1.0,0,0,0,0,0,0,0
LY82-RP4,82,1,0,1.0,0,0,0,0,0,0,0
LY82-RP4,87,1,0,1.0,0,0,0,0,0,0,0
LY82-RP4,169,1,0,1.0,0,0,0,1,0,0,0
LY82-RP4,176,1,0,1.0,0,0,0,1,0,0,0
LY82-RP4,189,0,0,1.0,0,1,0,0,0,0,0
9KJ6-ZYT,193,0,0,1.0,1,0,0,0,0,0,0
GSCT-BK1,40,1,0,1.0,0,0,0,0,0,0,0
GSCT-BK1,56,1,0,1.0,0,0,1,0,0,0,0
GSCT-BK1,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-BK1,170,1,0,1.0,0,0,0,0,0,0,0
GSCT-BK1,209,1,0,1.0,0,0,1,0,0,0,0
GSCT-BK1,213,1,0,1.0,0,0,1,0,0,0,0
GSCT-BK1,246,1,0,1.0,0,0,1,0,0,0,0
GSCT-BK1,251,1,0,1.0,0,0,0,1,0,0,0
GSCT-BK1,258,1,0,1.0,0,0,1,0,0,0,0
LTLP-F9F,28,0,0,1.0,1,0,0,0,0,0,0
LTLP-F9F,41,1,0,1.0,0,0,0,0,0,0,0
LTLP-F9F,87,1,0,1.0,0,0,0,0,0,0,0
LTLP-F9F,121,0,0,1.0,1,0,0,0,0,0,0
LTLP-F9F,168,0,0,1.0,1,0,0,0,0,0,0
LKMT-6CC,87,1,0,1.0,0,0,0,0,0,0,0
GSCK-DM4,2,0,1,1.0,1,0,0,0,0,0,0
GSCK-DM4,20,0,0,1.0,1,0,0,0,0,0,0
GSCK-DM4,46,1,0,1.0,0,0,0,0,0,0,0
GSCK-DM4,74,0,1,1.0,0,0,0,0,0,0,0
GSCK-DM4,87,1,0,1.0,0,0,0,0,0,0,0
GSCK-DM4,96,0,0,1.0,1,0,0,0,0,0,0
GSCK-DM4,185,0,0,1.0,1,0,0,0,0,0,0
GSCK-DM4,188,1,0,1.0,0,0,0,0,0,0,0
GSCK-DM4,190,0,0,1.0,1,0,0,0,0,0,0
GSC2-V9K,168,0,0,1.0,1,0,0,0,0,0,0
GSC2-V9K,194,0,0,1.0,1,0,0,0,0,0,0
LTXY-H64,46,1,0,1.0,0,0,0,0,0,0,0
LTXY-H64,56,1,0,1.0,0,0,1,0,0,0,0
LTXY-H64,87,1,0,1.0,0,0,0,0,0,0,0
LTXY-H64,179,1,0,1.0,0,0,1,0,0,0,0
LB14-GR4,32,1,0,1.0,0,0,0,1,0,0,0
LB14-GR4,37,1,0,1.0,0,0,0,1,0,0,0
LB14-GR4,79,1,0,1.0,0,0,0,1,0,0,0
LB14-GR4,169,1,0,1.0,0,0,0,1,0,0,0
LB14-GR4,176,1,0,1.0,0,0,0,1,0,0,0
GSCT-MD7,32,1,0,1.0,0,0,0,1,0,0,0
GSCT-MD7,35,1,0,1.0,0,0,1,0,0,0,0
GSCT-MD7,41,1,0,1.0,0,0,0,0,0,0,0
GSCT-MD7,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-MD7,232,1,0,1.0,0,0,0,1,0,0,0
GSCT-MD7,332,1,0,1.0,0,0,0,0,0,0,1
KHM2-V4N,41,1,0,1.0,0,0,0,0,0,0,0
KHM2-V4N,46,1,0,1.0,0,0,0,0,0,0,0
KHM2-V4N,87,1,0,1.0,0,0,0,0,0,0,0
KHM2-V4N,172,1,0,1.0,0,0,0,0,0,0,0
GSCY-NLF,73,1,0,1.0,0,0,0,0,1,0,0
GSCY-NLF,273,1,0,1.0,0,0,0,0,1,0,0
GSCT-ZV2,46,1,0,1.0,0,0,0,0,0,0,0
GSCT-ZV2,87,1,0,1.0,0,0,0,0,0,0,0
L2CW-D3J,41,1,0,1.0,0,0,0,0,0,0,0
L2CW-D3J,87,1,0,1.0,0,0,0,0,0,0,0
L12W-3K3,69,0,1,1.0,0,0,0,0,0,0,1
LT9Y-6G1,37,1,0,1.0,0,0,0,1,0,0,0
LT9Y-6G1,46,1,0,1.0,0,0,0,0,0,0,0
LT9Y-6G1,87,1,0,1.0,0,0,0,0,0,0,0
LT9Y-6G1,176,1,0,1.0,0,0,0,1,0,0,0
